,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_hog_extractor__color_space,param_hog_extractor__hist_feat,param_hog_extractor__hog_channel,param_hog_extractor__spatial_feat,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
30,44.372714042663574,17.31842303276062,0.9901981230448383,1.0,LUV,True,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'LUV'}",11,0.9901981230448383,1.0,0.0,0.0,0.0,0.0
46,47.64277195930481,17.646337032318115,0.989363920750782,1.0,HLS,True,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'HLS'}",12,0.989363920750782,1.0,0.0,0.0,0.0,0.0
70,45.758228063583374,14.080687046051025,0.9887382690302399,1.0,YCrCb,False,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'YCrCb'}",13,0.9887382690302399,1.0,0.0,0.0,0.0,0.0
22,45.01263117790222,13.927356958389282,0.9879040667361835,1.0,LUV,False,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'LUV'}",14,0.9879040667361835,1.0,0.0,0.0,0.0,0.0
57,27.969018936157227,7.145471096038818,0.9870698644421272,1.0,YUV,True,0,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'YUV'}",15,0.9870698644421272,1.0,0.0,0.0,0.0,0.0
73,29.596604108810425,8.406105995178223,0.9862356621480709,1.0,YCrCb,True,0,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'YCrCb'}",16,0.9862356621480709,1.0,0.0,0.0,0.0,0.0
54,35.75518798828125,14.230439901351929,0.9858185610010427,1.0,YUV,False,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'YUV'}",17,0.9858185610010427,1.0,0.0,0.0,0.0,0.0
43,30.569580078125,7.083659887313843,0.9845672575599583,1.0,HLS,True,1,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'HLS'}",18,0.9845672575599583,1.0,0.0,0.0,0.0,0.0
25,29.265017986297607,10.314062118530273,0.9841501564129301,1.0,LUV,True,0,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 0, 'hog_extractor__color_space': 'LUV'}",19,0.9841501564129301,1.0,0.0,0.0,0.0,0.0
38,57.43724012374878,15.138232946395874,0.9828988529718456,1.0,HLS,False,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'HLS'}",20,0.9828988529718456,1.0,0.0,0.0,0.0,0.0
15,59.298880100250244,15.290809869766235,0.9816475495307612,1.0,RGB,True,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'RGB'}",21,0.9816475495307612,1.0,0.0,0.0,0.0,0.0
13,28.219032049179077,6.588460922241211,0.9803962460896768,1.0,RGB,True,2,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 2, 'hog_extractor__color_space': 'RGB'}",22,0.9803962460896768,1.0,0.0,0.0,0.0,0.0
11,29.929497957229614,7.40564489364624,0.9787278415015641,1.0,RGB,True,1,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 1, 'hog_extractor__color_space': 'RGB'}",23,0.9787278415015641,1.0,0.0,0.0,0.0,0.0
